symbol,method_of_action,cosmic_moa,intogen_moa,gene_id
ABCB1,Act,,Act,SIDG00064
ABI1,ambiguous,"TSG, fusion",ambiguous,SIDG00145
ABL1,Act,"oncogene, fusion",Act,SIDG00150
ABL2,Act,"oncogene, fusion",Act,SIDG00151
ACKR3,Act,"oncogene, fusion",Act,SIDG00205
ACSL3,Act,fusion,Act,SIDG00244
ACVR1,ambiguous,oncogene,ambiguous,SIDG00344
ACVR2A,LoF,TSG,LoF,SIDG00347
AFDN,Act,"oncogene, fusion",,SIDG00567
AFF1,Act,fusion,Act,SIDG00569
AFF3,ambiguous,"oncogene, fusion",ambiguous,SIDG00573
AFF4,Act,"oncogene, fusion",,SIDG00574
AJUBA,LoF,,LoF,SIDG00701
AKT1,Act,oncogene,Act,SIDG00784
AKT2,Act,oncogene,,SIDG00786
AKT3,ambiguous,,ambiguous,SIDG00787
ALB,Act,,Act,SIDG00793
ALK,Act,"oncogene, fusion",Act,SIDG00858
AMER1,LoF,TSG,LoF,SIDG00920
APC,LoF,TSG,LoF,SIDG01214
APOBEC3B,ambiguous,"oncogene, TSG",,SIDG01247
AR,Act,oncogene,Act,SIDG01312
ARAF,Act,,Act,SIDG01313
ARHGAP26,LoF,"TSG, fusion",,SIDG01382
ARHGAP35,LoF,,LoF,SIDG01396
ARHGAP5,LoF,,LoF,SIDG01359
ARHGEF10,ambiguous,,ambiguous,SIDG01424
ARHGEF10L,LoF,,LoF,SIDG01425
ARHGEF12,ambiguous,"TSG, fusion",Act,SIDG01427
ARID1A,LoF,"TSG, fusion",LoF,SIDG01446
ARID1B,LoF,TSG,LoF,SIDG01447
ARID2,LoF,TSG,LoF,SIDG01448
ARNT,ambiguous,"oncogene, TSG, fusion",,SIDG01543
ASPSCR1,fusion,fusion,,SIDG01681
ASXL1,LoF,TSG,LoF,SIDG01704
ASXL2,LoF,,LoF,SIDG01705
ATF1,Act,"oncogene, fusion",,SIDG01720
ATF7IP,LoF,,LoF,SIDG01733
ATG7,LoF,,LoF,SIDG01745
ATIC,fusion,fusion,,SIDG01760
ATM,LoF,TSG,LoF,SIDG01764
ATP1A1,ambiguous,"oncogene, TSG",,SIDG01771
ATP2B3,LoF,TSG,,SIDG01792
ATR,LoF,TSG,LoF,SIDG01954
ATRX,LoF,TSG,LoF,SIDG01959
AXIN1,LoF,TSG,LoF,SIDG02003
AXIN2,LoF,TSG,LoF,SIDG02004
B2M,LoF,TSG,LoF,SIDG02017
BAP1,LoF,TSG,LoF,SIDG02114
BARD1,LoF,TSG,,SIDG02115
BAX,LoF,TSG,,SIDG02127
BCL10,ambiguous,"TSG, fusion",ambiguous,SIDG02200
BCL11A,Act,"oncogene, fusion",Act,SIDG02201
BCL11B,ambiguous,"oncogene, TSG, fusion",Act,SIDG02202
BCL2,Act,"oncogene, fusion",Act,SIDG02177
BCL2L12,ambiguous,,ambiguous,SIDG02184
BCL3,Act,"oncogene, fusion",,SIDG02189
BCL6,Act,"oncogene, fusion",Act,SIDG02191
BCL7A,Act,fusion,Act,SIDG02194
BCL9,Act,"oncogene, fusion",Act,SIDG02197
BCL9L,ambiguous,"oncogene, TSG",Act,SIDG02198
BCLAF1,Act,,Act,SIDG02203
BCOR,LoF,"TSG, fusion",LoF,SIDG02209
BCORL1,ambiguous,"oncogene, TSG",LoF,SIDG02210
BCR,Act,fusion,Act,SIDG02212
BIRC3,ambiguous,"oncogene, TSG, fusion",Act,SIDG02303
BIRC6,ambiguous,,ambiguous,SIDG02305
BLM,LoF,TSG,,SIDG02318
BMPR1A,ambiguous,"oncogene, TSG",LoF,SIDG02359
BMPR2,LoF,,LoF,SIDG02364
BRAF,Act,"oncogene, fusion",Act,SIDG02491
BRCA1,LoF,TSG,LoF,SIDG02496
BRCA2,LoF,TSG,LoF,SIDG02498
BRD3,Act,"oncogene, fusion",,SIDG02504
BRD4,Act,"oncogene, fusion",Act,SIDG02506
BRD7,LoF,,LoF,SIDG02507
BRIP1,LoF,TSG,,SIDG02533
BTG1,ambiguous,"TSG, fusion",ambiguous,SIDG02614
BTK,ambiguous,"oncogene, TSG",Act,SIDG02622
BUB1B,LoF,TSG,,SIDG02641
CACNA1D,ambiguous,oncogene,ambiguous,SIDG03307
CALR,Act,oncogene,,SIDG03383
CAMTA1,LoF,"TSG, fusion",LoF,SIDG03407
CANT1,fusion,fusion,,SIDG03414
CARD11,Act,oncogene,Act,SIDG03455
CARS1,ambiguous,"TSG, fusion",ambiguous,SIDG03471
CASP8,LoF,TSG,LoF,SIDG03513
CASZ1,LoF,,LoF,SIDG03528
CBFA2T3,ambiguous,"TSG, fusion",Act,SIDG03555
CBFB,ambiguous,"TSG, fusion",Act,SIDG03556
CBL,ambiguous,"oncogene, TSG, fusion",Act,SIDG03557
CBLB,LoF,TSG,,SIDG03558
CBLC,ambiguous,"oncogene, TSG",,SIDG03559
CCDC6,LoF,"TSG, fusion",LoF,SIDG03616
CCNB1IP1,LoF,"TSG, fusion",,SIDG03829
CCND1,Act,"oncogene, fusion",Act,SIDG03838
CCND2,Act,"oncogene, fusion",Act,SIDG03839
CCND3,Act,"oncogene, fusion",Act,SIDG03842
CCNE1,Act,oncogene,,SIDG03846
CCR7,LoF,,LoF,SIDG03886
CD274,LoF,"TSG, fusion",,SIDG04016
CD58,LoF,,LoF,SIDG03973
CD74,Act,"oncogene, fusion",,SIDG03980
CD79A,Act,oncogene,,SIDG03981
CD79B,Act,oncogene,Act,SIDG03982
CDC73,LoF,TSG,LoF,SIDG04087
CDH1,LoF,TSG,LoF,SIDG04102
CDH10,Act,,Act,SIDG04111
CDH11,ambiguous,"TSG, fusion",ambiguous,SIDG04112
CDK12,LoF,TSG,LoF,SIDG04166
CDK4,Act,oncogene,Act,SIDG04147
CDK6,Act,"oncogene, fusion",,SIDG04156
CDKN1A,LoF,,LoF,SIDG04181
CDKN1B,LoF,TSG,LoF,SIDG04183
CDKN2A,LoF,TSG,LoF,SIDG04185
CDKN2C,LoF,TSG,LoF,SIDG04194
CDX2,ambiguous,"TSG, fusion",Act,SIDG04229
CEBPA,ambiguous,TSG,ambiguous,SIDG04285
CEP43,fusion,fusion,,SIDG09087
CHCHD7,fusion,fusion,,SIDG04540
CHD2,LoF,,LoF,SIDG04544
CHD4,Act,oncogene,Act,SIDG04546
CHEK2,LoF,TSG,LoF,SIDG04554
CIC,ambiguous,"oncogene, TSG, fusion",LoF,SIDG04675
CIITA,ambiguous,"TSG, fusion",Act,SIDG04708
CLIP1,LoF,fusion,LoF,SIDG04858
CLTC,ambiguous,"TSG, fusion",Act,SIDG04905
CLTCL1,ambiguous,"TSG, fusion",Act,SIDG04907
CMTR2,LoF,,LoF,SIDG04962
CNBP,LoF,"TSG, fusion",,SIDG04969
CNOT3,ambiguous,TSG,Act,SIDG05011
CNTRL,fusion,fusion,,SIDG05065
COL1A1,Act,fusion,Act,SIDG05089
COL2A1,fusion,fusion,,SIDG05093
CPEB3,Act,,Act,SIDG05319
CR1,ambiguous,,ambiguous,SIDG05369
CREB1,Act,"oncogene, fusion",,SIDG05386
CREB3L1,LoF,"TSG, fusion",,SIDG05388
CREB3L2,Act,"oncogene, fusion",,SIDG05389
CREBBP,ambiguous,"oncogene, TSG, fusion",LoF,SIDG05393
CRLF2,Act,"oncogene, fusion",,SIDG05424
CRNKL1,Act,,Act,SIDG05429
CRTC1,ambiguous,"oncogene, fusion",ambiguous,SIDG05445
CRTC3,fusion,fusion,,SIDG05447
CSF3R,Act,oncogene,Act,SIDG05503
CTCF,LoF,TSG,LoF,SIDG05645
CTNNB1,Act,"oncogene, fusion",Act,SIDG05669
CUL3,LoF,,LoF,SIDG05725
CUX1,ambiguous,"oncogene, TSG",ambiguous,SIDG05735
CXCR4,Act,oncogene,Act,SIDG05773
CYLD,LoF,TSG,LoF,SIDG05873
CYP2C8,LoF,,LoF,SIDG05892
CYSLTR2,Act,,Act,SIDG06001
DAXX,ambiguous,"oncogene, TSG",LoF,SIDG06056
DAZAP1,LoF,,LoF,SIDG06061
DCAF12L2,Act,,Act,SIDG06104
DCC,LoF,,LoF,SIDG06116
DCSTAMP,Act,,Act,SIDG06142
DCTN1,fusion,fusion,,SIDG06145
DDB2,ambiguous,"oncogene, TSG",LoF,SIDG06166
DDIT3,Act,"oncogene, fusion",,SIDG06174
DDR2,Act,oncogene,,SIDG06184
DDX10,LoF,"TSG, fusion",,SIDG06202
DDX3X,LoF,TSG,LoF,SIDG06194
DDX5,Act,"oncogene, fusion",,SIDG06197
DDX6,ambiguous,"oncogene, fusion",ambiguous,SIDG06198
DEK,Act,"oncogene, fusion",,SIDG06359
DGCR8,LoF,,LoF,SIDG06490
DHX9,Act,,Act,SIDG06541
DICER1,LoF,TSG,LoF,SIDG06566
DIS3,LoF,,LoF,SIDG06591
DNAJB1,LoF,fusion,LoF,SIDG06724
DNM2,LoF,TSG,,SIDG06841
DNMT3A,LoF,TSG,LoF,SIDG06848
DOT1L,LoF,,LoF,SIDG06888
DROSHA,LoF,TSG,LoF,SIDG06992
DTX1,ambiguous,,ambiguous,SIDG07036
DUSP16,LoF,,LoF,SIDG07078
EBF1,ambiguous,"TSG, fusion",ambiguous,SIDG07252
EFTUD2,ambiguous,,ambiguous,SIDG07446
EGFR,Act,oncogene,Act,SIDG07457
EGR2,ambiguous,,ambiguous,SIDG07468
EHD2,ambiguous,,ambiguous,SIDG07474
EIF1AX,LoF,,LoF,SIDG07496
EIF3E,ambiguous,"TSG, fusion",Act,SIDG07541
EIF4A2,fusion,fusion,,SIDG07580
ELF3,LoF,,LoF,SIDG07653
ELF4,ambiguous,"oncogene, TSG, fusion",Act,SIDG07655
ELK4,Act,"oncogene, fusion",,SIDG07665
ELL,ambiguous,"TSG, fusion",ambiguous,SIDG07666
ELN,ambiguous,,ambiguous,SIDG07682
EML4,ambiguous,fusion,ambiguous,SIDG07772
ENPEP,ambiguous,,ambiguous,SIDG07813
EP300,LoF,"TSG, fusion",LoF,SIDG07855
EPAS1,ambiguous,"oncogene, TSG",Act,SIDG07859
EPHA2,LoF,,LoF,SIDG07878
EPHA3,ambiguous,,ambiguous,SIDG07879
EPHA7,ambiguous,,ambiguous,SIDG07884
EPS15,ambiguous,"TSG, fusion",Act,SIDG07916
ERBB2,Act,"oncogene, fusion",Act,SIDG07927
ERBB3,Act,oncogene,Act,SIDG07928
ERBB4,ambiguous,"oncogene, TSG",LoF,SIDG07929
ERC1,fusion,fusion,,SIDG07931
ERCC2,LoF,TSG,LoF,SIDG07935
ERCC3,LoF,TSG,LoF,SIDG07936
ERCC4,LoF,TSG,,SIDG07937
ERCC5,LoF,TSG,,SIDG07938
ERG,Act,"oncogene, fusion",Act,SIDG07949
ESR1,ambiguous,"oncogene, TSG, fusion",Act,SIDG08129
ESRRA,Act,,Act,SIDG08134
ETNK1,LoF,TSG,,SIDG08160
ETV1,Act,"oncogene, fusion",,SIDG08165
ETV4,ambiguous,"oncogene, fusion",LoF,SIDG08169
ETV5,Act,"oncogene, fusion",Act,SIDG08170
ETV6,ambiguous,"TSG, fusion",Act,SIDG08172
EWSR1,Act,"oncogene, fusion",Act,SIDG08191
EXT1,LoF,"TSG, fusion",,SIDG08228
EXT2,LoF,TSG,LoF,SIDG08229
